"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 14 06:58:28 UTC 2025","Sun Sep 14 06:58:32 UTC 2025","3761","tests.steps","test_login_steps","","","","test_successful_login","/home/runner/work/playwright_auto_pom_demo/playwright_auto_pom_demo/features/login.feature: Successful login"
"passed","Sun Sep 14 06:58:32 UTC 2025","Sun Sep 14 06:58:34 UTC 2025","2226","tests.steps","test_login_steps","","","","test_logout_from_secure_page","/home/runner/work/playwright_auto_pom_demo/playwright_auto_pom_demo/features/login.feature: Logout from secure page"
